,HCG,Name,RA,Dec,Vsys,M_type,T_type,sep_kpc,sep_norm,e_sepnorm,D25_am,D25_kpc,flux,logMHIobs,e_logMHIobs,logMHIexp,e_logMHIexp,defHI,e_defHI,OPT_HI,zflag,HIflag,MHIlim_flag,gmag,e_gmag,rmag,e_rmag,Btot,logLB,logMs,e_logMs
0,16,KUG 0208-103,32.840035,-10.121219,3846.0,Sd,7,385.794,1.435,0.39355567150402443,1.107,15.785,1.502,8.930,0.061,9.270,0.221,0.340,0.22937574836985772,2,1,1,0,15.958,0.001,15.582,0.001,15.630,9.080,9.085,0.010
1,16,KUG 0206-099A,32.271455,-9.700399,3830.0,S0,-2,401.790,1.495,0.4098737986720794,0.304,4.332,0.072,7.610,0.061,8.534,0.285,0.924,0.2915428509503059,2,1,1,0,17.285,0.001,17.076,0.001,16.893,8.575,8.214,0.010
2,16,WISEA J020919.28-095201.8,32.330475,-9.867239,3847.0,Sm,9,251.868,0.937,0.25693531453571644,0.658,9.378,0.894,8.705,0.061,8.721,0.285,0.016,0.2915428509503059,2,1,1,0,17.633,0.003,17.256,0.003,17.307,8.410,8.428,0.011
3,16,KUG 0205-104,32.072785,-10.239139,3869.0,S0a,0,270.544,1.006,0.27598700512002033,0.820,11.686,1.360,8.887,0.061,8.406,0.57,-0.480,0.573299427821302,2,1,1,0,15.475,0.000,15.085,0.000,15.153,9.271,9.275,0.010
4,16,KUG 0206-105,32.275075,-10.320229,3972.0,Sc,5,166.552,0.620,0.1699022239088393,0.726,10.350,0.682,8.587,0.061,9.205,0.221,0.618,0.22937574836985772,2,1,1,0,16.206,0.001,15.853,0.001,15.870,8.984,8.947,0.010
5,16,WISEA J020825.73-095553.3,32.107205,-9.931729,3906.0,S0,-2,301.969,1.123,0.3080442402289971,0.157,2.235,0.025,7.143,0.061,7.497,0.285,0.354,0.2915428509503059,1,0,1,0,20.209,0.009,19.903,0.009,19.855,7.390,7.227,0.019
6,16,WISEA J021022.68-102345.2,32.595005,-10.396059,4112.0,S0,-2,271.131,1.009,0.27658540095152856,0.235,3.352,0.080,7.654,0.061,8.187,0.285,0.534,0.2915428509503059,1,0,1,0,19.277,0.009,18.820,0.008,18.981,7.740,7.927,0.017
7,16,core: HCG 16A,32.352483,-10.135884,4075.5,Sa,1,31.621,0.118,0.03225691990769646,1.778,25.347,0.983,8.746,0.061,9.508,0.57,0.762,0.573299427821302,2,1,1,0,13.055,0.000,12.330,0.000,12.864,10.187,10.892,0.010
8,16,core: HCG 16B,32.336887,-10.133054,3867.0,Sa,1,44.109,0.164,0.044996342836741164,1.795,25.579,1.537,8.940,0.061,9.361,0.57,0.422,0.573299427821302,2,1,1,0,13.510,0.000,12.697,0.000,13.353,9.991,10.836,0.010
9,16,core: HCG 16C,32.410863,-10.146144,3849.0,S0a,0,25.094,0.093,0.02559868480628955,1.605,22.879,6.688,9.579,0.061,9.230,0.57,-0.348,0.573299427821302,2,1,1,0,13.684,0.000,13.025,0.000,13.467,9.946,10.508,0.010
10,16,core: HCG 16D,32.428865,-10.184089,3874.0,S0a,0,44.806,0.167,0.04570774577264166,2.036,29.016,6.289,9.552,0.061,9.205,0.57,-0.347,0.573299427821302,2,1,1,0,13.780,0.000,13.088,0.000,13.576,9.902,10.489,0.010
11,16,core: NGC 0848,32.573515,-10.321449,3989.0,SBab,2,213.061,0.793,0.21734729008782558,1.859,26.501,6.998,9.598,0.061,9.167,0.57,-0.432,0.573299427821302,2,1,1,0,13.703,0.000,13.184,0.000,13.431,9.960,10.236,0.010
12,16,core: total,32.383223,-10.157132,3977.0,NaN,NaN,0.000,0.000,0.0,nan,nan,37.840,10.331,0.061,10.013,1.27455874717488,-0.319,1.276037708667041,2,1,1,0,nan,nan,nan,nan,nan,nan,11.356,nan
13,16,WISEA J020836.71-095615.7,32.152905,-9.937709,4026.0,Im,10,269.870,1.004,0.2752997221403092,0.331,4.714,0.047,7.422,0.061,8.970,0.285,1.548,0.2915428509503059,0,1,0,1,17.993,0.001,17.415,0.001,17.745,8.234,8.687,0.010
14,16,PGC1 4584000 NED001,32.241415,-10.388499,3163.0,S0,-2,231.067,0.860,0.2357151591090128,0.314,4.475,0.042,7.372,0.061,9.207,0.221,1.836,0.22937574836985772,0,1,0,1,18.303,0.003,17.504,0.002,18.141,8.076,8.889,0.011
15,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
