ID,Name,RA,Dec,gmag,e_gmag,rmag,e_rmag,radius_r,ba_ratio,radius_g,logMstar,e_logMstar
WJ050112_040732,WISEA J050112.74-040732.1,75.30271391641045,-4.125585294419839,16.56508788756967,0.0028995281605856,16.024529202935554,0.0025469428285334,0.3827611465335548,0.58905341402182,0.3296334238345622,9.012172498132193,0.011055280875144947
HCG31G,HCG 31G,75.43336392662086,-4.288745285658673,14.714234843633204,0.0003123243050644,14.392314714646844,0.0003198298511839,0.2934337189171955,0.947922913313576,0.2651210514433287,9.339286845532518,0.010014892419829755
HCG31C,HCG 31C,75.40765840642693,-4.257926388819204,14.398674763426085,0.000258924050879,14.12607005628707,0.0002688578646427,0.4529256727913367,0.4400508926638946,0.40219624904825363,9.372304730323886,0.010010385137173342
WJ050300_042846,WISEA J050300.01-042846.1,75.74999393738572,-4.478925264527721,16.635216980829444,0.0028602267402218,16.246907087411806,0.0036095208922868,0.5058135157046232,0.2938541441304509,0.4559922772248088,8.69637064542914,0.011472941746517298
HCG31A,HCG 31A,75.41144840704153,-4.259366388819173,14.565804937669462,0.0005722083720275,14.174672739805477,0.0004766131425126,0.488354414316137,0.4977904145888685,0.46254719447934606,9.529469618096728,0.010041283567968616
WJ045925_035506,WISEA J045925.54-035506.3,74.85634390495932,-3.918805324537018,16.64269370982602,0.0021932283972262,16.248419192157748,0.0024715137904481,0.30916327914796854,0.5653316552945329,0.2665401892410394,8.704653093664207,0.010783513059800487
HCG31B,HCG 31B,75.39942285823051,-4.261338610056401,15.17489743075554,0.0007637330757571,14.875661509035163,0.0007730006053708,0.5605897570138366,0.2786512817531599,0.524223471800686,9.112148658950876,0.010087679890335509
HCG31Q,HCG 31Q,75.40973392230005,-4.222445287241456,16.33945081794977,0.0013863391751178,15.899797586630584,0.0014921385673938,0.24640978523190013,0.9246264383190298,0.2088574055440791,8.911716019214937,0.010304721581477936
WJ050152_035116,WISEA J050152.03-035116.1,75.46679389719988,-3.85436528342083,17.627601717791876,0.0018029715154587,17.168080211455496,0.0019973068762354,0.12177000252770953,0.7207918804475216,0.10548064572348154,8.434006699060587,0.010526058839153245
WJ050042_035434,WISEA J050042.68-035434.1,75.1778239025303,-3.909525302817625,18.549752886652207,0.0033099390479631,17.517775070230876,0.001851120027474,0.1017200158435787,0.6674684538992695,0.07969400718129867,9.147088657577015,0.01102110478441015
WJ045913_033631,WISEA J045913.48-033631.4,74.80657388409385,-3.608575327912712,15.455470281623295,0.0015052563181243,15.075043467412742,0.0015434240255471,0.4617033540707422,0.7322887716744043,0.4279437181605523,9.15337030541021,0.010340826978354652
GALEXASCJ050203,GALEXASC J050203.46-040132.9,75.51444390845032,-4.025805280233896,18.98448865412717,0.0124410788604972,18.58323040361287,0.0143687689761308,0.13544630185193857,0.4995310847112158,0.11546774818176982,7.781134371022737,0.025273433457286363
